Character 1 ID;Character 2 ID;Number of Comic Books Where Character 1 and Character 2 Both Appeared
12;2;10
15;2;7
5;3;1
11;3;15
12;3;7
13;3;1
15;3;18
17;3;1
19;3;1
29;3;3
30;3;5
8;4;7
12;4;27
15;4;19
17;4;1
19;4;8
3;5;1
9;5;4
11;5;2
12;5;2
13;5;1
15;5;1
19;5;8
21;6;4
4;8;7
12;8;7
15;8;7
5;9;4
11;9;3
19;9;3
3;11;15
5;11;2
9;11;3
12;11;24
15;11;30
19;11;1
28;11;1
29;11;7
30;11;1
2;12;10
3;12;7
4;12;27
5;12;2
8;12;7
11;12;24
13;12;1
15;12;130
16;12;4
17;12;5
18;12;9
19;12;12
20;12;2
21;12;4
26;12;2
29;12;6
3;13;1
5;13;1
12;13;1
15;13;1
19;13;1
30;13;4
2;15;7
3;15;18
4;15;19
5;15;1
8;15;7
11;15;30
12;15;130
13;15;1
16;15;2
17;15;1
18;15;1
19;15;9
25;15;1
26;15;2
29;15;4
30;15;7
12;16;4
15;16;2
3;17;1
4;17;1
12;17;5
15;17;1
19;17;2
20;17;1
12;18;9
15;18;1
21;18;1
3;19;1
4;19;8
5;19;8
9;19;3
11;19;1
12;19;12
13;19;1
15;19;9
17;19;2
29;19;22
12;20;2
17;20;1
25;20;7
6;21;4
12;21;4
18;21;1
15;25;1
20;25;7
12;26;2
15;26;2
11;28;1
3;29;3
11;29;7
12;29;6
15;29;4
19;29;22
3;30;5
4;30;3
11;30;1
12;30;7
13;30;4
15;30;7
17;30;1
19;30;1
21;30;4
29;30;2
1;31;3
3;31;6
4;31;8
5;31;1
7;31;2
9;31;1
11;31;12
12;31;64
13;31;1
15;31;45
16;31;1
17;31;4
19;31;15
21;31;2
27;31;1
29;31;6
3;32;1
4;32;14
5;32;1
8;32;4
11;32;1
12;32;23
15;32;13
17;32;21
19;32;17
21;32;1
29;32;8
12;33;2
29;33;1
12;34;8
19;34;1
3;35;2
12;35;1
17;35;13
29;35;2
3;36;1
12;36;8
15;36;8
29;36;1
3;37;2
5;37;1
11;37;8
12;37;1
13;37;1
15;37;2
19;37;2
23;37;3
29;37;2
30;37;1
12;38;3
15;38;5
12;40;16
15;40;7
11;41;2
12;41;2
15;41;1
17;41;4
19;41;9
29;41;16
3;43;3
4;43;3
11;43;4
12;43;24
15;43;16
19;43;8
27;43;1
29;43;4
2;44;1
3;44;3
4;44;7
5;44;1
12;44;31
13;44;1
15;44;11
17;44;1
19;44;8
12;45;3
15;45;4
3;46;7
4;46;1
5;46;2
7;46;1
10;46;1
11;46;7
12;46;34
13;46;1
14;46;3
15;46;33
17;46;11
19;46;7
20;46;1
21;46;7
27;46;4
29;46;2
12;47;24
15;47;2
16;47;7
20;47;1
3;48;2
5;48;1
11;48;1
12;48;2
13;48;1
14;48;8
15;48;2
17;48;2
19;48;2
5;49;1
9;49;1
11;49;4
3;50;1
12;50;1
15;50;3
30;50;2
4;51;9
8;51;3
11;51;6
12;51;92
15;51;32
16;51;47
18;51;7
19;51;2
29;51;2
12;52;2
2;53;6
3;53;1
4;53;19
8;53;7
11;53;3
12;53;153
15;53;289
16;53;3
17;53;1
18;53;2
19;53;7
26;53;1
29;53;2
12;54;2
15;54;1
15;56;1
12;57;4
4;58;40
5;58;1
8;58;5
12;58;41
15;58;28
17;58;1
19;58;8
2;59;1
12;59;3
15;59;2
16;59;34
4;61;6
12;61;49
15;61;17
18;61;1
19;61;7
11;62;3
15;62;3
30;62;2
3;63;1
4;63;8
8;63;6
11;63;1
12;63;44
15;63;49
16;63;6
27;63;1
7;64;1
30;64;1
3;65;1
5;65;1
12;65;1
13;65;1
15;65;1
19;65;1
20;65;1
2;66;1
3;66;13
4;66;9
5;66;2
6;66;5
8;66;2
10;66;2
11;66;9
12;66;88
13;66;3
14;66;3
15;66;55
17;66;28
19;66;17
20;66;61
21;66;139
25;66;15
27;66;2
29;66;8
30;66;80
12;67;3
14;67;2
15;67;4
17;67;1
19;67;1
2;68;6
3;68;4
4;68;24
5;68;1
8;68;4
11;68;2
12;68;347
13;68;1
15;68;110
16;68;1
17;68;2
18;68;1
19;68;9
20;68;1
21;68;1
26;68;2
29;68;1
30;68;5
4;69;10
10;69;5
11;69;1
12;69;13
15;69;10
17;69;16
19;69;19
29;69;5
30;69;1
4;70;1
11;70;3
12;70;6
15;70;1
19;70;1
29;70;1
10;71;3
11;71;2
12;71;2
15;71;1
19;71;2
3;72;4
5;72;1
11;72;3
12;72;13
13;72;1
15;72;8
17;72;7
19;72;25
21;72;1
2;73;4
4;73;41
8;73;5
12;73;55
15;73;27
17;73;1
19;73;11
29;73;1
